

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
122.818  000.097  000.059: require('indent_blankline')
122.871  000.171  000.074: require('oasido.indent_blankline')
122.985  000.075  000.075: require('nvim-lastplace')
123.000  000.127  000.051: require('oasido.lastplace')
123.166  000.028  000.028: require('tabout.config')
123.168  000.055  000.028: require('tabout.logger')
123.229  000.060  000.060: require('tabout.utils')
123.327  000.047  000.047: require('tabout.node')
123.332  000.096  000.049: require('tabout.tab')
123.342  000.264  000.053: require('tabout')
123.448  000.429  000.164: require('oasido.tabout')
123.597  000.041  000.041: require('mason-core.path')
123.609  000.102  000.061: require('mason.settings')
123.700  000.048  000.048: require('mason-core.functional')
123.766  000.025  000.025: require('mason-core.functional.data')
123.773  000.063  000.038: require('mason-core.functional.function')
123.813  000.028  000.028: require('mason-core.functional.relation')
123.865  000.029  000.029: require('mason-core.functional.logic')
123.875  000.264  000.095: require('mason-core.platform')
123.877  000.397  000.031: require('mason')
123.964  000.035  000.035: require('mason-core.functional.list')
123.977  000.091  000.055: require('mason.api.command')
124.060  000.047  000.047: require('mason-core.log')
124.063  000.084  000.037: require('mason-lspconfig')
124.367  000.049  000.049: require('vim.lsp.log')
124.662  000.292  000.292: require('vim.lsp.protocol')
124.811  000.060  000.060: require('vim.lsp._snippet')
124.852  000.038  000.038: require('vim.highlight')
124.867  000.201  000.103: require('vim.lsp.util')
124.874  000.602  000.061: require('vim.lsp.handlers')
124.990  000.113  000.113: require('vim.lsp.rpc')
125.029  000.035  000.035: require('vim.lsp.sync')
125.097  000.066  000.066: require('vim.lsp.buf')
125.138  000.038  000.038: require('vim.lsp.diagnostic')
125.180  000.040  000.040: require('vim.lsp.codelens')
125.236  001.052  000.156: require('vim.lsp')
125.321  001.193  000.141: require('lspconfig.util')
125.324  001.233  000.040: require('lspconfig.configs')
125.326  001.261  000.029: require('lspconfig')
125.366  000.035  000.035: require('mason-lspconfig.settings')
125.446  000.026  000.026: require('mason-core.notify')
125.450  000.079  000.054: require('mason-lspconfig.lspconfig_hook')
125.546  000.031  000.031: require('mason-core.functional.table')
125.591  000.134  000.103: require('mason-lspconfig.mappings.server')
125.707  000.046  000.046: require('mason-core.async')
125.737  000.027  000.027: require('mason-core.async.uv')
125.762  000.135  000.061: require('mason-core.fs')
125.797  000.032  000.032: require('mason-core.optional')
125.831  000.031  000.031: require('mason-core.EventEmitter')
125.910  000.077  000.077: require('mason-registry.index')
125.917  000.324  000.048: require('mason-registry')
125.950  000.029  000.029: require('mason-lspconfig.server_config_extensions')
125.992  000.039  000.039: require('lspconfig.server_configurations.omnisharp')
126.066  000.034  000.034: require('mason-lspconfig.ensure_installed')
126.185  000.032  000.032: require('mason-core.result')
126.350  000.085  000.085: require('mason-core.process')
126.374  000.141  000.056: require('mason-core.spawn')
126.417  000.040  000.040: require('mason-core.receipt')
126.463  000.034  000.034: require('mason-core.functional.string')
126.474  000.287  000.072: require('mason-core.installer.context')
126.512  000.035  000.035: require('mason-core.installer.linker')
126.546  000.032  000.032: require('mason-core.async.control')
126.548  000.437  000.051: require('mason-core.installer')
126.596  000.046  000.046: require('mason-core.installer.handle')
126.792  000.032  000.032: require('mason-core.managers.powershell')
126.795  000.073  000.041: require('mason-core.fetch')
126.796  000.105  000.031: require('mason-core.managers.cargo.client')
126.879  000.043  000.043: require('mason-core.managers.std')
126.952  000.033  000.033: require('mason-core.providers')
126.967  000.085  000.052: require('mason-core.managers.github.client')
126.973  000.176  000.047: require('mason-core.managers.github')
126.996  000.362  000.082: require('mason-core.managers.cargo')
127.090  000.092  000.092: require('mason-core.managers.composer')
127.147  000.054  000.054: require('mason-core.managers.gem')
127.203  000.053  000.053: require('mason-core.managers.git')
127.261  000.056  000.056: require('mason-core.managers.go')
127.367  000.102  000.102: require('mason-core.managers.luarocks')
128.047  000.677  000.677: require('mason-core.managers.npm')
128.105  000.055  000.055: require('mason-core.managers.pip3')
128.112  001.512  000.061: require('mason-core.package.version-check')
128.116  002.047  000.053: require('mason-core.package')
128.189  000.066  000.066: require('mason-registry.lua-language-server')
128.383  000.053  000.053: require('mason-registry.json-lsp')
128.439  000.039  000.039: require('mason-registry.typescript-language-server')
128.495  000.047  000.047: require('mason-registry.eslint-lsp')
128.545  000.044  000.044: require('mason-registry.prisma-language-server')
128.632  000.077  000.077: require('mason-registry.tailwindcss-language-server')
128.677  000.037  000.037: require('mason-registry.html-lsp')
128.737  000.037  000.037: require('mason-registry.css-lsp')
128.778  000.035  000.035: require('mason-registry.astro-language-server')
128.858  000.073  000.073: require('mason-registry.yaml-language-server')
128.905  000.039  000.039: require('mason-registry.taplo')
128.979  000.057  000.057: require('mason-registry.marksman')
129.036  000.037  000.037: require('mason-registry.dockerfile-language-server')
129.109  000.046  000.046: require('mason-registry.cssmodules-language-server')
129.174  000.046  000.046: require('mason-registry.vue-language-server')
129.245  000.049  000.049: require('mason-registry.angular-language-server')
129.321  000.031  000.031: require('mason-core.functional.number')
129.342  000.093  000.062: require('mason-lspconfig.api.command')
129.530  000.138  000.138: require('vim.diagnostic')
129.534  000.191  000.052: require('oasido.lsp.config')
129.609  000.034  000.034: require('cmp_nvim_lsp.source')
129.613  000.077  000.043: require('cmp_nvim_lsp')
129.975  000.098  000.098: require('lsp_signature.helper')
129.998  000.231  000.133: require('lsp_signature')
130.001  000.286  000.055: require('oasido.lsp.on_attach')
130.335  000.064  000.064: require('lspconfig.server_configurations.tsserver')
130.359  000.356  000.292: require('typescript')
131.041  000.060  000.060: require('lspconfig.server_configurations.yamlls')
132.096  000.055  000.055: require('lspconfig.server_configurations.prismals')
133.129  000.072  000.072: require('lspconfig.server_configurations.tailwindcss')
134.268  000.060  000.060: require('lspconfig.server_configurations.angularls')
134.352  000.053  000.053: require('mason-lspconfig.server_configurations.angularls')
134.873  000.090  000.090: require('lspconfig.server_configurations.volar')
135.069  000.037  000.037: require('mason-lspconfig.typescript')
135.072  000.088  000.051: require('mason-lspconfig.server_configurations.volar')
135.584  000.053  000.053: require('lspconfig.server_configurations.taplo')
136.860  000.068  000.068: require('lspconfig.server_configurations.marksman')
138.195  000.076  000.076: require('lspconfig.server_configurations.dockerls')
139.336  000.049  000.049: require('lspconfig.server_configurations.cssls')
140.272  000.111  000.111: require('lspconfig.server_configurations.eslint')
141.240  000.047  000.047: require('lspconfig.server_configurations.jsonls')
142.133  000.048  000.048: require('lspconfig.server_configurations.html')
142.965  000.048  000.048: require('lspconfig.server_configurations.sumneko_lua')
144.379  000.049  000.049: require('lspconfig.server_configurations.astro')
144.443  000.036  000.036: require('mason-lspconfig.server_configurations.astro')
144.940  000.048  000.048: require('lspconfig.server_configurations.bashls')
145.840  000.044  000.044: require('lspconfig.server_configurations.cssmodules_ls')
146.247  022.797  015.304: require('oasido.lsp')
146.327  000.045  000.045: require('mason-null-ls')
146.551  000.101  000.101: require('null-ls.methods')
146.562  000.160  000.059: require('null-ls.utils')
146.574  000.210  000.050: require('null-ls.config')
146.640  000.030  000.030: require('null-ls.helpers.cache')
146.684  000.042  000.042: require('null-ls.helpers.diagnostics')
146.715  000.029  000.029: require('null-ls.helpers.formatter_factory')
146.797  000.031  000.031: require('null-ls.logger')
146.835  000.036  000.036: require('null-ls.state')
146.837  000.118  000.051: require('null-ls.helpers.generator_factory')
146.906  000.034  000.034: require('null-ls.helpers.command_resolver')
146.908  000.069  000.035: require('null-ls.helpers.make_builtin')
146.941  000.032  000.032: require('null-ls.helpers.range_formatting_args_factory')
146.943  000.367  000.047: require('null-ls.helpers')
147.026  000.040  000.040: require('null-ls.diagnostics')
147.033  000.089  000.049: require('null-ls.sources')
147.073  000.037  000.037: require('null-ls.builtins')
147.075  000.746  000.044: require('null-ls')
147.107  000.030  000.030: require('mason-null-ls.settings')
147.146  000.031  000.031: require('mason-null-ls.ensure_installed')
147.208  000.055  000.055: require('mason-null-ls.mappings.source')
147.255  000.043  000.043: require('mason-registry.stylua')
147.315  000.037  000.037: require('mason-registry.prettier')
147.364  000.046  000.046: require('mason-null-ls.automatic_installation')
147.446  000.070  000.070: require('mason-null-ls.api.command')
147.502  000.045  000.045: require('null-ls.builtins.formatting.stylua')
147.566  000.060  000.060: require('null-ls.builtins.formatting.prettier')
147.758  000.057  000.057: require('null-ls.client')
147.778  001.527  000.262: require('oasido.null-ls')
147.834  000.029  000.029: require('true-zen')
147.889  000.052  000.052: require('true-zen.config')
147.897  000.117  000.036: require('oasido.true-zen')
148.093  000.035  000.035: require('tmux.configuration.logging')
148.124  000.028  000.028: require('tmux.log.severity')
148.126  000.112  000.049: require('tmux.log.channels')
148.127  000.145  000.032: require('tmux.log')
148.161  000.031  000.031: require('tmux.configuration.options')
148.216  000.026  000.026: require('tmux.version')
148.218  000.056  000.029: require('tmux.configuration.validate')
148.257  000.037  000.037: require('tmux.wrapper.tmux')
148.258  000.305  000.036: require('tmux.configuration')
148.321  000.027  000.027: require('tmux.keymaps')
148.324  000.064  000.037: require('tmux.copy')
148.468  000.029  000.029: require('tmux.layout.parse')
148.471  000.061  000.032: require('tmux.layout')
148.503  000.028  000.028: require('tmux.wrapper.nvim')
148.506  000.127  000.039: require('tmux.navigation.navigate')
148.508  000.163  000.036: require('tmux.navigation')
148.542  000.033  000.033: require('tmux.resize')
148.545  000.620  000.057: require('tmux')
148.607  000.030  000.030: require('tmux.log.convert')
150.568  000.094  000.094: require('tmux.version.parse')
150.778  002.878  002.134: require('oasido.tmux')
151.009  000.068  000.068: require('vim.ui')
151.015  000.125  000.058: require('dressing.patch')
151.017  000.181  000.056: require('dressing')
151.188  000.165  000.165: require('dressing.config')
151.210  000.427  000.080: require('oasido.dressing')
151.523  000.051  000.051: require('toggleterm.lazy')
151.581  000.053  000.053: require('toggleterm.constants')
151.730  000.134  000.134: require('toggleterm.terminal')
151.736  000.369  000.131: require('toggleterm')
151.873  000.062  000.062: require('toggleterm.colors')
151.940  000.063  000.063: require('toggleterm.utils')
151.950  000.204  000.079: require('toggleterm.config')
152.260  000.080  000.080: require('toggleterm.commandline')
152.307  001.093  000.440: require('oasido.toggleterm')
152.461  000.047  000.047: require('scrollbar.const')
152.528  000.063  000.063: require('scrollbar.utils')
152.533  000.183  000.072: require('scrollbar')
152.603  000.067  000.067: require('scrollbar.config')
152.880  000.077  000.077: require('scrollbar.handlers.diagnostic')
152.906  000.594  000.267: require('oasido.scrollbar')
153.147  000.066  000.066: require('copilot.api')
153.228  000.077  000.077: require('copilot.util')
153.234  000.213  000.070: require('copilot.client')
153.288  000.051  000.051: require('copilot.highlight')
153.389  000.097  000.097: require('copilot.panel')
153.485  000.092  000.092: require('copilot.suggestion')
153.500  000.539  000.087: require('copilot')
153.629  000.719  000.180: require('oasido.copilot')
153.718  000.084  000.084: require('oasido.harpoon')
153.721  145.730  000.209: sourcing /home/oasido/.config/nvim/init.lua
153.736  004.383: sourcing vimrc file(s)
154.553  000.018  000.018: sourcing /home/oasido/.local/share/nvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
155.084  000.014  000.014: sourcing /home/oasido/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
155.645  001.265  001.233: sourcing /squashfs-root/usr/share/nvim/runtime/filetype.lua
155.680  000.014  000.014: sourcing /squashfs-root/usr/share/nvim/runtime/filetype.vim
156.014  000.073  000.073: sourcing /squashfs-root/usr/share/nvim/runtime/syntax/synload.vim
156.122  000.388  000.314: sourcing /squashfs-root/usr/share/nvim/runtime/syntax/syntax.vim
157.473  000.140  000.140: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/gzip.vim
157.498  000.008  000.008: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/health.vim
157.962  000.140  000.140: sourcing /squashfs-root/usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
158.064  000.550  000.411: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/matchit.vim
158.196  000.117  000.117: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/matchparen.vim
158.502  000.290  000.290: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/netrwPlugin.vim
